Sheet	#	Category	Answer
Sourcing Requirements	1.5	Licensing and Contacting	Akka supports fully on-premises deployment within PNC's own infrastructure, with no requirement to use any third-party hosting provider. Akka can also be deployed on PNC's preferred cloud provider (AWS, Azure, GCP, or other). The cloud provider and data location are PNC's choice. Akka does not mandate or operate a shared cloud environment for customer workloads.
Sourcing Requirements	1.6	Licensing and Contacting	Akka is licensed on a subscription/consumption basis. Specific options include enterprise subscription licensing (capacity-based) and consumption-based models (per request volume or compute). Detailed pricing tiers and licensing structures will be provided in the Pricing Schedule. Volume discounts are available for enterprise engagements.
Sourcing Requirements	1.7	Licensing and Contacting	Akka provides multiple training pathways: (1) Self-service documentation at doc.akka.io including tutorials, API references, and sample applications; (2) Discord community for peer and Akka-team support; (3) Structured onboarding for enterprise customers; (4) Professional instructor-led training engagements available through the support portal. Training tier options and associated pricing are detailed in the Pricing Schedule.
Sourcing Requirements	1.8	Licensing and Contacting	Akka runs on standard Linux-based infrastructure (physical or virtualised). A typical production deployment minimum per node: 4 CPU cores, 8 GB RAM, standard network connectivity (1 Gbps). Akka scales horizontally by adding nodes — there are no proprietary hardware requirements. For containerised deployments (Kubernetes), standard Kubernetes node sizing applies. Detailed hardware sizing guidance is available in the Akka operations documentation and will be provided as part of implementation planning.
Sourcing Requirements	1.9	Licensing and Contacting	No special proprietary interfaces are required. Akka uses standard protocols throughout: HTTPS/gRPC for service APIs, OTLP for telemetry export, OpenID Connect and JWT for authentication/authorisation, and Kafka or AMQP for event streaming integrations. Standard browser access is sufficient for the Akka Console UI.
Sourcing Requirements	1.10	Licensing and Contacting	Yes, Akka will comply with this pricing requirement. A fully itemised Pricing Schedule will be provided, covering all components: platform subscription, professional services, support/maintenance, and training. Alternate pricing structures will also be proposed where applicable.
Sourcing Requirements	1.11	Licensing and Contacting	Yes. Akka agrees to guarantee the submitted pricing for 120 days from the date of submission to PNC.
Sourcing Requirements	1.12	Licensing and Contacting	Akka acknowledges receipt of Attachment 7 and agrees to begin negotiations from PNC's form agreement. Akka's legal team will review the specimen agreements and provide any comments or requested modifications as part of the negotiation process.
Sourcing Requirements	2	Licensing Support Services
Sourcing Requirements	2.1	Licensing Support Services	Akka offers tiered support packages for enterprise customers. Standard packages include business-hours coverage for non-critical issues and 24/7 coverage for critical (P1) incidents. Premium tiers add dedicated Customer Success Management, faster SLAs, and direct engineering escalation. Higher service tiers (Day-2 Operations, Business Continuity, Sovereign Cloud) include a dedicated Technical Account Manager — quarter-time at Day-2 Operations, half-time at Business Continuity — providing PNC with named technical leadership for the engagement. A detailed support package comparison document is available upon request and will be referenced in the Pricing Schedule.
Sourcing Requirements	2.2	Licensing Support Services	Akka's support team covers US and European time zones. Standard SLAs: P1/Critical — initial response within 1 hour, 24/7; P2/High — response within 4 business hours; P3/Medium and P4/Low — response within 1 business day. Support is accessible via the Akka support portal, email, and (for enterprise customers) dedicated Slack/Teams channels. Sovereign Cloud tier customers receive in-region SREs (for example, EU SREs for EU sovereign deployments) for jurisdictional support continuity — relevant if PNC has any non-US operations.
Sourcing Requirements	2.3	Licensing Support Services	Akka follows a continuous delivery model. Minor updates and patches are released on an as-needed basis (typically monthly or upon security patch availability). Major feature releases follow a quarterly cadence. Customers receive advance notification of all releases via the Akka changelog, release notes published to doc.akka.io, and direct customer communications for enterprise accounts.
Sourcing Requirements	2.4	Licensing Support Services	Updates are delivered as incremental version upgrades, not full reinstalls. Akka's deployment model supports rolling upgrades — new versions are deployed node-by-node with no application downtime. Rollback to prior versions is supported. Security patches follow the same rolling upgrade process and do not require full reinstallation.
Sourcing Requirements	2.5	Licensing Support Services	Akka is designed for zero-downtime updates. Rolling deployment means traffic is continuously served during upgrades. Planned maintenance windows are only required for major underlying infrastructure changes (e.g. database schema migrations) and are announced at least 2 weeks in advance with agreed maintenance windows.
Sourcing Requirements	2.6	Licensing Support Services	Updates are announced via: (1) Akka changelog at doc.akka.io/reference/release-notes/; (2) Direct email notification to enterprise account contacts; (3) Akka support portal announcements; (4) Akka Discord community channel. Security patches are communicated directly to affected customers via email with urgency classification and recommended action timelines.
Sourcing Requirements	2.7	Licensing Support Services	Akka implementation follows a structured multi-phase approach: Phase 1 — Discovery and requirements alignment (1-2 weeks); Phase 2 — Environment setup, integration configuration, and credential/access provisioning (2-4 weeks); Phase 3 — Application onboarding, agent/workflow deployment, and telemetry configuration (variable, typically 3-6 weeks); Phase 4 — User acceptance testing and production go-live (1-2 weeks). Total typical timeframe for a GenAI observability production deployment is 8-12 weeks. Akka's professional services team is engaged throughout all phases.
Sourcing Requirements	2.8	Licensing Support Services	Product enhancement requests are submitted through the Akka support portal or via the customer's dedicated Customer Success Manager. Requests are reviewed as part of the quarterly product roadmap process. Enterprise customers are invited to participate in roadmap reviews and can advocate directly for prioritisation of requested features. Akka publishes a public roadmap for visibility into planned capabilities.
Sourcing Requirements	2.9	Licensing Support Services	Akka provides a minimum of 12 months advance notice for product version end-of-life or discontinuation, and typically 18+ months for major version transitions. Migration guides and professional services assistance are provided for customers transitioning between major versions.
Sourcing Requirements	2.10	Licensing Support Services	Comprehensive documentation is available at doc.akka.io, covering: platform architecture, operations guides, integration guides, API references, security configuration, observability setup, and sample applications. Documentation is versioned to match product releases, publicly accessible, and searchable. Enterprise customers also receive access to internal knowledge base articles and direct access to Akka engineers for complex queries.
Sourcing Requirements	2.11	Licensing Support Services	Akka's core development, support, and customer success operations are headquartered in the United States. [TO VERIFY: confirm whether any engineering or support functions operate outside the US — update before submission]
Sourcing Requirements	2.12	Licensing Support Services	[See 2.11 — if any resources are outside the US, they will be identified here by function, country, and employment type (employee vs. subcontractor). To be completed prior to submission.]
Sourcing Requirements	2.13	Licensing Support Services	[TO VERIFY: confirm whether any ancillary support resources (e.g. QA, documentation, on-call) operate outside the US — update before submission]
Sourcing Requirements	2.14	Licensing Support Services	[To be completed based on verification of 2.13 — identify function, country, and employee vs. subcontractor status for any non-US ancillary resources.]
Sourcing Requirements	3	Purchasing
Sourcing Requirements	3.1	Purchasing	Akka sells primarily direct through its enterprise sales team, which provides the most direct path to best pricing, custom terms, and dedicated customer success management. For customers who prefer to engage through an existing vendor relationship, Akka works with strategic consulting partners on a case-by-case basis. Direct engagement is recommended for optimal pricing.
Sourcing Requirements	3.2	Purchasing	Akka's primary route to market is direct. Deloitte is a strategic consulting partner that delivers Akka-based solutions and may facilitate introductions, but core platform licensing is best obtained directly from Akka for most favourable pricing.
Sourcing Requirements	3.3	Purchasing	Akka provides professional services directly through its own professional services team, which offers implementation, architecture consulting, training, and ongoing optimisation engagements. This direct model ensures PNC works with engineers who have deep platform knowledge. Strategic consulting partners (e.g. Deloitte) may also deliver implementation services where the customer prefers an existing consulting relationship.
Sourcing Requirements	3.4	Purchasing	Deloitte is Akka's primary strategic consulting partner for enterprise-scale implementations. Akka's professional services team can provide references or facilitate introductions to Deloitte for customers interested in a combined Akka + systems integrator engagement.
Sourcing Requirements	4	References
Sourcing Requirements	4.1	References	Akka serves enterprise customers globally across financial services, insurance, healthcare, retail, industrial IoT, telecom, and media. A core relevant statistic for PNC: 52 banks run Akka in production today, and 2 billion people daily touch Akka-powered applications. Key customers include Manulife — one of the world's largest insurance companies, ranked #1 life insurance company for AI maturity, using Akka to build hundreds of trusted AI-powered business applications, a direct precedent for a regulated financial-services GenAI platform; Verizon — 750% increase in order processing capacity, response times reduced from 6 seconds to 2.4 seconds, carrier-grade reliability under regulatory oversight; Dojo — UK payments/fintech accelerating merchant onboarding via agentic AI under FCA oversight; John Deere — precision agriculture platform with 1,000+ sensors per tractor in real time; Swiggy — food delivery, 50% latency reduction in order-assignment AI at platform scale; Tubi — streaming media, hyper-personalized recommendations driving advertising revenue; Llaama — biopharma, AI-driven treatment development under regulated R&D; and DeductiveAI — analytics, root-cause analysis up to 90% faster. Strategic partnership with Deloitte for enterprise-scale implementation services.
Sourcing Requirements	4.2	References	Customer references in financial services, insurance, and fintech are available. Given the confidential nature of reference contacts, specific names, addresses, and contact details will be provided directly and under NDA upon request. Akka can supply a minimum of three references in industries comparable to PNC (financial services, insurance, payments) with experience in enterprise GenAI deployments. Reference details to be provided separately as part of the finalist process.
